vehicle_id,step,sumo_x,sumo_y,gps_lat,gps_lon
ambulance_gps_0,1,1.05,508.4,36.919797,30.67375
ambulance_gps_0,2,508.4,530.0,36.919795,30.673747
ambulance_gps_0,3,508.4,529.0,36.919793,30.67374
ambulance_gps_0,4,508.4,528.0,36.919795,30.673738
ambulance_gps_0,5,508.4,529.0,36.919788,30.673732
ambulance_gps_0,6,490.0,511.6,36.919788,30.673732
ambulance_gps_0,7,490.0,511.6,36.919788,30.673732
ambulance_gps_0,8,490.0,511.6,36.919788,30.673732
ambulance_gps_0,9,490.0,511.6,36.919788,30.673732
ambulance_gps_0,10,490.0,511.6,36.919788,30.673732
ambulance_gps_0,11,490.0,511.6,36.919788,30.673732
ambulance_gps_0,12,490.0,511.6,36.919788,30.673732
ambulance_gps_0,13,490.0,511.6,36.91975,30.67376
ambulance_gps_0,14,508.4,502.0,36.919745,30.673762
ambulance_gps_0,15,508.4,499.0,36.91974,30.673765
ambulance_gps_0,16,511.6,496.0,36.91974,30.67377
ambulance_gps_0,17,511.6,496.0,36.919735,30.67377
ambulance_gps_0,18,511.6,493.0,36.91973,30.67379
ambulance_gps_0,19,530.0,508.4,36.91973,30.67379
ambulance_gps_0,20,530.0,508.4,36.91973,30.67379
ambulance_gps_0,21,530.0,508.4,36.91973,30.67379
