vehicle_id,step,sumo_x,sumo_y,gps_lat,gps_lon
ambulance_gps_0,1,1.05,508.4,36.919797,30.67375
ambulance_gps_0,2,511.6,708.03,36.919795,30.673747
ambulance_gps_0,3,511.6,698.06,36.919793,30.67374
ambulance_gps_0,4,511.6,688.09,36.919795,30.673738
ambulance_gps_0,5,511.6,698.06,36.919788,30.673732
ambulance_gps_0,6,310.0,511.6,36.919788,30.673732
ambulance_gps_0,7,310.0,511.6,36.919788,30.673732
ambulance_gps_0,8,310.0,511.6,36.919788,30.673732
ambulance_gps_0,9,310.0,511.6,36.919788,30.673732
ambulance_gps_0,10,310.0,511.6,36.919788,30.673732
ambulance_gps_0,11,310.0,511.6,36.919788,30.673732
ambulance_gps_0,12,310.0,511.6,36.919788,30.673732
ambulance_gps_0,13,310.0,511.6,36.91975,30.67376
ambulance_gps_0,14,508.4,429.4,36.919745,30.673762
ambulance_gps_0,15,508.4,399.55,36.91974,30.673765
ambulance_gps_0,16,508.4,369.7,36.91974,30.67377
ambulance_gps_0,17,508.4,369.7,36.919735,30.67377
ambulance_gps_0,18,508.4,339.85,36.91973,30.67379
ambulance_gps_0,19,508.4,310.0,36.91973,30.67379
ambulance_gps_0,20,508.4,310.0,36.91973,30.67379
ambulance_gps_0,21,508.4,310.0,36.91973,30.67379
